Product,City,Stock_Level,Category,ds,yhat,yhat_lower,yhat_upper,Reorder_Point
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-01-15,372.3560329913787,372.3560329873658,372.3560329953164,409.5916362905166
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-01-18,245.9646839041194,245.9646839004417,245.96468390829637,270.5611522945314
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-03,156.66567215517182,156.66567215087545,156.66567215897092,172.33223937068902
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-10,405.3948212282292,405.39482122423055,405.3948212320666,445.93430335105216
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-11,1714.8834352674785,1714.8834352630647,1714.883435271535,1886.3717787942264
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-12,4689.222103802252,4689.222103796549,4689.2221038073,5158.1443141824775
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-14,1210.5597840520086,1208.0126749552392,1211.180792731835,1331.6157624572095
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-15,5166.1890789745175,5161.449089173465,5168.440115906325,5682.80798687197
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-16,4174.733065038437,4167.329816240559,4179.08045781542,4592.206371542282
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-17,1690.402072538053,1679.944974173503,1696.4634885058344,1859.4422797918585
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-18,3235.9953102698505,3221.776384328456,3244.532381562861,3559.594841296836
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-19,6437.125665558629,6419.745702951677,6448.255044812672,7080.838232114493
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-20,1635.2248272942954,1612.5230228315656,1649.125376044844,1798.747310023725
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-21,3337.3804049836444,3310.427662417021,3354.620527142383,3671.118445482009
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-22,7423.137151915382,7391.031098123377,7444.879636694719,8165.450867106921
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-23,6509.30815729413,6471.138111006108,6534.77658296902,7160.238973023544
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-24,4042.233500104572,3997.399451765808,4071.986086027588,4446.45685011503
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-25,5538.690126438977,5487.509572386473,5573.904833599264,6092.559139082875
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-26,8620.363151730402,8564.447941488766,8661.373256270392,9482.399466903444
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-27,3627.030366249379,3562.979088183364,3673.610757857065,3989.733402874317
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-28,5066.505580895672,4995.311196123191,5117.176621659576,5573.1561389852395
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-29,8821.469182058912,8743.913942194216,8880.16144740243,9703.616100264804
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-03-01,7514.230435242991,7431.621273248149,7580.16420167561,8265.65347876729
