ds,Product,City,yhat,yhat_lower,yhat_upper
2024-01-20,Adidas Ultraboost,Adama,0.9999874584621943,0.9999874571377311,0.9999874596175136
2024-02-06,Adidas Ultraboost,Adama,2.9999865486167563,2.9999865473776133,2.999986549970764
2024-02-07,Adidas Ultraboost,Adama,-2.690534192473966,-2.6905341939280856,-2.6905341910754816
2024-02-08,Adidas Ultraboost,Adama,-10.805923265148003,-10.805923266525348,-10.805923263736252
2024-02-09,Adidas Ultraboost,Adama,-9.9592289629778,-9.959228964561985,-9.95922896154311
2024-02-10,Adidas Ultraboost,Adama,-2.4594051701438615,-2.459405171719394,-2.459405168386792
2024-02-11,Adidas Ultraboost,Adama,24.44815434103225,24.44815433912577,24.448154343054195
2024-02-12,Adidas Ultraboost,Adama,2.9934776604638125,2.9934776580388465,2.9934776631226248
2024-02-13,Adidas Ultraboost,Adama,17.946236340701013,17.946236337419812,17.94623634435559
2024-02-14,Adidas Ultraboost,Adama,13.368848103255353,13.368848098564458,13.36884810857478
2024-02-15,Adidas Ultraboost,Adama,6.023652670582939,6.023652664298596,6.023652677528314
2024-02-16,Adidas Ultraboost,Adama,7.271237749876463,7.271237741713085,7.271237759525216
2024-02-17,Adidas Ultraboost,Adama,14.785907356332679,14.78590734654309,14.785907366932125
2024-02-18,Adidas Ultraboost,Adama,41.31568095181726,41.31568094091606,41.315680965019894
2024-02-19,Adidas Ultraboost,Adama,19.094416810405534,19.09441679793072,19.094416826084124
2024-02-20,Adidas Ultraboost,Adama,32.90601514472718,32.90601513028749,32.90601516349385
2024-02-21,Adidas Ultraboost,Adama,26.837221597495002,26.837221580314793,26.837221617830206
2024-02-22,Adidas Ultraboost,Adama,17.68423011135325,17.684230092220126,17.684230134637072
2024-02-23,Adidas Ultraboost,Adama,16.850176659506932,16.8501766373579,16.850176684920044
2024-02-24,Adidas Ultraboost,Adama,22.059537562581443,22.059537537820365,22.0595375902524
2024-02-25,Adidas Ultraboost,Adama,46.11684890013189,46.11684887191422,46.116848930765315
2024-02-26,Adidas Ultraboost,Adama,21.317374201498723,21.317374171396864,21.317374234738107
2024-02-27,Adidas Ultraboost,Adama,32.5097145475919,32.50971451481896,32.50971458328321
2024-02-28,Adidas Ultraboost,Adama,23.846924058117374,23.84692402292585,23.84692409683321
2024-02-29,Adidas Ultraboost,Adama,12.191374773786867,12.19137473604219,12.191374815903156
2024-03-01,Adidas Ultraboost,Adama,9.010508814508139,9.01050877420509,9.010508860412855
2024-03-02,Adidas Ultraboost,Adama,12.089538077508996,12.089538035084612,12.089538127414452
2024-03-03,Adidas Ultraboost,Adama,34.28855340805555,34.28855336287396,34.28855346079772
2024-03-04,Adidas Ultraboost,Adama,7.951713496929152,7.951713449908764,7.95171355286918
2024-03-05,Adidas Ultraboost,Adama,17.968547197092008,17.968547146147746,17.96854725674971
2024-03-06,Adidas Ultraboost,Adama,8.523967210066878,8.523967156008592,8.523967273384901
2024-03-07,Adidas Ultraboost,Adama,-3.4977313898671056,-3.497731446537219,-3.49773132213766
2024-03-08,Adidas Ultraboost,Adama,-6.617726761654742,-6.617726822174855,-6.617726689550232
2024-03-09,Adidas Ultraboost,Adama,-3.050303545820608,-3.0503036106456753,-3.0503034689811774
2024-03-10,Adidas Ultraboost,Adama,20.054207058114898,20.05420699005274,20.054207139135066
2024-03-11,Adidas Ultraboost,Adama,-4.981148054363127,-4.981148126039381,-4.981147968560681
2024-03-12,Adidas Ultraboost,Adama,6.701872899943872,6.701872826029486,6.701872990744505
2024-03-13,Adidas Ultraboost,Adama,-0.7525002113178001,-0.7525002882368219,-0.7525001178501554
2024-03-14,Adidas Ultraboost,Adama,-10.509027068297518,-10.509027147136672,-10.509026970347868
2024-03-15,Adidas Ultraboost,Adama,-11.145071469297276,-11.145071551050727,-11.145071365098863
2024-03-16,Adidas Ultraboost,Adama,-4.936809177834842,-4.936809262381295,-4.9368090688037825
2024-03-17,Adidas Ultraboost,Adama,20.899404145635813,20.89940405468449,20.899404258335892
2024-03-18,Adidas Ultraboost,Adama,-1.3818648954527113,-1.3818649908264735,-1.381864777726566
2024-03-19,Adidas Ultraboost,Adama,13.00842819960639,13.008428099545654,13.008428322287742
2024-03-20,Adidas Ultraboost,Adama,8.146353718068884,8.146353613774798,8.146353848556986
2024-03-21,Adidas Ultraboost,Adama,0.8017549299141802,0.8017548207341263,0.8017550649181665
2024-03-22,Adidas Ultraboost,Adama,2.336283753111843,2.3362836397921485,2.3362838908681636
2024-03-23,Adidas Ultraboost,Adama,10.418725996971821,10.418725880559759,10.418726139368058
2024-03-24,Adidas Ultraboost,Adama,37.78501011566412,37.785009995203254,37.78501026255882
2024-03-25,Adidas Ultraboost,Adama,16.65049471387577,16.6504945892021,16.650494863187426
2024-03-26,Adidas Ultraboost,Adama,31.774488473304572,31.774488346690667,31.77448862688582
2024-03-27,Adidas Ultraboost,Adama,27.213517549671355,27.21351741798702,27.21351770672958
2024-03-28,Adidas Ultraboost,Adama,19.728530329122613,19.72853019345692,19.72853049210681
2024-03-29,Adidas Ultraboost,Adama,20.68311851907552,20.68311837709204,20.68311868603817
2024-03-30,Adidas Ultraboost,Adama,27.75875268878626,27.758752542790738,27.758752860417168
2024-03-31,Adidas Ultraboost,Adama,53.71443041730705,53.714430266352124,53.71443059287018
2024-04-01,Adidas Ultraboost,Adama,30.798343553517377,30.798343401211753,30.798343733856388
2024-04-02,Adidas Ultraboost,Adama,43.81153620803464,43.811536047573924,43.81153639357463
2024-04-03,Adidas Ultraboost,Adama,36.86009262050314,36.86009245565884,36.86009280992208
2024-04-04,Adidas Ultraboost,Adama,26.761074335004594,26.761074166602636,26.76107452914931
2024-04-05,Adidas Ultraboost,Adama,24.939319816489686,24.939319642525078,24.939320014663327
2024-04-06,Adidas Ultraboost,Adama,29.141142440919158,29.141142263338118,29.141142643107333
2024-04-07,Adidas Ultraboost,Adama,52.19236545447177,52.19236527234276,52.19236566313076
2024-04-08,Adidas Ultraboost,Adama,26.408342367882597,26.408342180251104,26.408342581582435
2024-04-09,Adidas Ultraboost,Adama,36.65597675696094,36.65597656295883,36.655976976504725
2024-04-10,Adidas Ultraboost,Adama,27.104322235499787,27.104322038634464,27.104322460293794
2024-04-11,Adidas Ultraboost,Adama,14.629021828393965,14.629021625310749,14.629022056631651
2024-04-12,Adidas Ultraboost,Adama,10.707736822731635,10.70773661595208,10.707737057706796
2024-04-13,Adidas Ultraboost,Adama,13.132634176764642,13.132633962888189,13.132634413588475
2024-04-14,Adidas Ultraboost,Adama,34.767399614085306,34.76739939548451,34.7673998550603
2024-04-15,Adidas Ultraboost,Adama,7.9564480898964245,7.956447865438301,7.956448333378499
2024-04-16,Adidas Ultraboost,Adama,17.586362976459128,17.58636274625359,17.586363225131926
2024-04-17,Adidas Ultraboost,Adama,7.836155890923752,7.836155654104967,7.836156142672084
2024-04-18,Adidas Ultraboost,Adama,-4.418388865458798,-4.418389106363515,-4.418388609039895
2024-04-19,Adidas Ultraboost,Adama,-7.709136880191998,-7.709137124686152,-7.7091366137169866
2024-04-20,Adidas Ultraboost,Adama,-4.262732122203248,-4.262732372757849,-4.262731848648034
2024-04-21,Adidas Ultraboost,Adama,18.75702181217849,18.7570215533381,18.757022090043268
2024-04-22,Adidas Ultraboost,Adama,-6.3408200684907605,-6.340820333055149,-6.340819785713075
2024-04-23,Adidas Ultraboost,Adama,5.288080569359407,5.2880803002090015,5.288080854810506
2024-04-24,Adidas Ultraboost,Adama,-2.2252599666357717,-2.2252602397967434,-2.225259674844712
2024-04-25,Adidas Ultraboost,Adama,-12.057550637662889,-12.057550916034256,-12.057550339849094
2024-04-26,Adidas Ultraboost,Adama,-12.796312624292094,-12.796312909863865,-12.796312319369127
2024-04-27,Adidas Ultraboost,Adama,-6.725624519966029,-6.725624811611457,-6.725624208872654
2024-04-28,Adidas Ultraboost,Adama,18.932891301369306,18.93289100449027,18.932891621600188
2024-04-29,Adidas Ultraboost,Adama,-3.568542202626938,-3.5685425030529436,-3.5685418769626587
2024-04-30,Adidas Ultraboost,Adama,10.559880721236565,10.559880417257533,10.559881050347403
2024-05-01,Adidas Ultraboost,Adama,5.398166077084252,5.398165769875973,5.398166416974604
2024-05-02,Adidas Ultraboost,Adama,-2.276778934336207,-2.276779243352086,-2.276778588759872
2024-05-03,Adidas Ultraboost,Adama,-1.0932721471910263,-1.0932724611131193,-1.0932717960629146
2024-05-04,Adidas Ultraboost,Adama,6.6301951630264195,6.630194838188932,6.6301955197456
2024-05-05,Adidas Ultraboost,Adama,33.64458915288036,33.64458882211332,33.644589516467434
2024-05-06,Adidas Ultraboost,Adama,12.1821497308903,12.182149396145455,12.182150099379376
2024-01-04,Apple Watch Series 8,Adama,1.9999482703541955,1.999948270107916,1.9999482706212546
2024-01-07,Apple Watch Series 8,Adama,2.9999386900722436,2.999938689805848,2.999938690326068
2024-01-16,Apple Watch Series 8,Adama,5.0000235851767005,5.000023584917109,5.000023585448359
2024-01-23,Apple Watch Series 8,Adama,3.0000548584098894,3.000054858139742,3.000054858662414
2024-01-25,Apple Watch Series 8,Adama,3.0000542240459036,3.000054223804556,3.000054224309922
2024-01-31,Apple Watch Series 8,Adama,8.000062616361708,8.000062616101232,8.000062616606664
2024-02-01,Apple Watch Series 8,Adama,9.187487642231842,9.187487641904259,9.187487642545905
2024-02-02,Apple Watch Series 8,Adama,-17.525153994782375,-17.52515399529821,-17.525153994378197
2024-02-03,Apple Watch Series 8,Adama,-16.435796557193523,-16.43579656139817,-16.435796555518298
2024-02-04,Apple Watch Series 8,Adama,13.43591689308927,13.435916883772816,13.435916898928422
2024-02-05,Apple Watch Series 8,Adama,-3.2903749690645174,-3.2903749873060226,-3.2903749564310694
2024-02-06,Apple Watch Series 8,Adama,20.209662439067486,20.209662413786653,20.20966245912748
2024-02-07,Apple Watch Series 8,Adama,23.124337031594795,23.124336996662304,23.124337062259688
2024-02-08,Apple Watch Series 8,Adama,25.787594345678734,25.787594302048046,25.7875943841716
2024-02-09,Apple Watch Series 8,Adama,0.48988605401346597,0.4898860018253618,0.489886101680538
2024-02-10,Apple Watch Series 8,Adama,2.908755132938527,2.9087550668217714,2.908755191886669
2024-02-11,Apple Watch Series 8,Adama,33.999037092648265,33.99903701161769,33.999037161642114
2024-02-12,Apple Watch Series 8,Adama,18.354207877290285,18.35420778268725,18.354207958905434
2024-02-13,Apple Watch Series 8,Adama,42.772245059838404,42.772244949878626,42.77224515776438
2024-02-14,Apple Watch Series 8,Adama,46.41543795141013,46.415437827166976,46.41543806216987
2024-02-15,Apple Watch Series 8,Adama,49.59266210670664,49.59266196328998,49.59266222803638
2024-02-16,Apple Watch Series 8,Adama,24.57092334153338,24.570923183840378,24.570923474232178
2024-02-17,Apple Watch Series 8,Adama,27.006667555475865,27.006667382493553,27.00666770448629
2024-02-18,Apple Watch Series 8,Adama,57.83673606716078,57.83673587439587,57.83673623328437
2024-02-19,Apple Watch Series 8,Adama,41.64047431901243,41.64047410969141,41.64047449971618
2024-02-20,Apple Watch Series 8,Adama,65.20633540888274,65.20633517885088,65.20633560681735
2024-02-21,Apple Watch Series 8,Adama,67.69238724838371,67.69238700068905,67.6923874653192
2024-02-22,Apple Watch Series 8,Adama,69.40921121200762,69.409210945288,69.40921144037412
2024-02-23,Apple Watch Series 8,Adama,42.6319699111843,42.63196962699668,42.631970151638605
2024-02-24,Apple Watch Series 8,Adama,43.032114010952746,43.03211371351102,43.03211426521901
2024-02-25,Apple Watch Series 8,Adama,71.5685835136487,71.56858320261858,71.56858378896176
2024-02-26,Apple Watch Series 8,Adama,52.84999013690926,52.84998980797909,52.849990425151645
2024-02-27,Apple Watch Series 8,Adama,73.70110497788545,73.70110462502542,73.70110528086065
2024-02-28,Apple Watch Series 8,Adama,73.32304777773804,73.32304741519044,73.32304810186064
2024-02-29,Apple Watch Series 8,Adama,72.07565864920063,72.07565826206273,72.07565899289403
2024-03-01,Apple Watch Series 8,Adama,42.28882893931326,42.28882853028576,42.28882931067731
2024-03-02,Apple Watch Series 8,Adama,39.69326660775734,39.693266171552764,39.69326699927196
2024-03-03,Apple Watch Series 8,Adama,65.31056363171285,65.31056317983376,65.3105640477078
2024-03-04,Apple Watch Series 8,Adama,43.81407076664455,43.81407029565196,43.81407119451619
2024-03-05,Apple Watch Series 8,Adama,62.09392896189381,62.09392846173491,62.09392941225573
2024-03-06,Apple Watch Series 8,Adama,59.415684824214516,59.41568430117417,59.41568529910044
2024-03-07,Apple Watch Series 8,Adama,56.20100741785828,56.2010068727748,56.20100791225008
2024-03-08,Apple Watch Series 8,Adama,24.837324016660162,24.8373234430609,24.837324539488737
2024-03-09,Apple Watch Series 8,Adama,21.106894647880424,21.106894047991243,21.10689519433308
2024-03-10,Apple Watch Series 8,Adama,46.075239764710425,46.07523913916753,46.07524033624894
2024-03-11,Apple Watch Series 8,Adama,24.45047430031684,24.45047365526367,24.450474893938217
2024-03-12,Apple Watch Series 8,Adama,43.14694505677299,43.146944380580926,43.14694566793885
2024-03-13,Apple Watch Series 8,Adama,41.44264481379097,41.442644106966426,41.4426454554923
2024-03-14,Apple Watch Series 8,Adama,39.75896335297128,39.7589626151869,39.7589640243911
2024-03-15,Apple Watch Series 8,Adama,10.469631461591643,10.469630698847622,10.4696321595357
2024-03-16,Apple Watch Series 8,Adama,9.329410448009131,9.329409656596892,9.32941117018261
2024-03-17,Apple Watch Series 8,Adama,37.362467256317274,37.362466436126375,37.36246800228258
2024-03-18,Apple Watch Series 8,Adama,19.22200622175468,19.22200537932474,19.222006991079276
2024-03-19,Apple Watch Series 8,Adama,41.75456341708977,41.754562544289655,41.75456421240562
2024-03-20,Apple Watch Series 8,Adama,44.15843656734695,44.15843566237521,44.158437384756574
2024-03-21,Apple Watch Series 8,Adama,46.764800565468875,46.76479963100762,46.76480140705822
2024-03-22,Apple Watch Series 8,Adama,21.848344633187423,21.848343675114215,21.84834550101989
2024-03-23,Apple Watch Series 8,Adama,25.05795397369348,25.05795298038178,25.057954861218757
2024-03-24,Apple Watch Series 8,Adama,57.30733710800461,57.30733608818081,57.307338017479964
2024-03-25,Apple Watch Series 8,Adama,43.13712257695591,43.1371215324871,43.13712351418577
2024-03-26,Apple Watch Series 8,Adama,69.2817761284069,69.28177505536787,69.28177708943174
2024-03-27,Apple Watch Series 8,Adama,74.83075030829855,74.83074920249314,74.83075130100242
